ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,order_freq,Time_taken (min)
0x9e8a,PUNERES05DEL02,18.543626,73.905101,18.623626,73.985101,Sandstorms,Medium,2.0,16
0x970a,PUNERES12DEL02,18.520016,73.830547,18.570016,73.880547,Fog,Jam,2.0,30
0x9bf9,PUNERES19DEL01,18.563934,73.915367,18.603935,73.955367,Sandstorms,Medium,2.0,37
0x2185,PUNERES12DEL01,18.520016,73.830547,18.630016,73.940547,Sunny,Low,2.0,26
0xa64c,PUNERES12DEL01,18.520016,73.830547,18.530016,73.840547,Stormy,Low,1.0,25
0x7725,PUNERES12DEL01,18.520016,73.830547,18.630016,73.940547,Stormy,Jam,2.0,31
0x6edb,PUNERES06DEL01,18.546258,73.904337,18.656258,74.014337,Stormy,Medium,1.0,31
0x1db4,PUNERES17DEL03,18.530963,73.828972,18.590963,73.888972,Stormy,Low,2.0,28
0x4ac4,PUNERES11DEL03,18.533811,73.899315,18.623811,73.989315,Sandstorms,Jam,2.0,30
0x7573,PUNERES19DEL02,18.563934,73.915367,18.643935,73.995367,Windy,Low,2.0,19
0xa20a,PUNERES13DEL03,18.56245,73.916619,18.65245,74.006619,Fog,Low,1.0,28
0x5561,PUNERES010DEL01,18.539299,73.897902,18.609299,73.967902,Cloudy,Jam,2.0,35
0xbbc6,PUNERES04DEL01,18.51421,73.838429,18.62421,73.948429,Windy,Low,2.0,16
0x6436,PUNERES07DEL01,18.546947,73.900626,18.656947,74.010626,Stormy,Jam,2.0,34
0xa3a6,PUNERES04DEL03,18.51421,73.838429,18.60421,73.928429,Sandstorms,Medium,2.0,36
0x57ce,PUNERES11DEL02,18.533811,73.899315,18.583811,73.949315,Sandstorms,Low,2.0,24
0x7096,PUNERES01DEL03,18.569156,73.774723,18.629156,73.834723,Sandstorms,Low,2.0,21
0x9b27,PUNERES18DEL03,18.593481,73.785901,18.623481,73.815901,Stormy,Jam,2.0,11
0x56aa,PUNERES15DEL01,18.636215,73.751081,18.646215,73.761081,Cloudy,Low,1.0,24
0xa635,PUNERES14DEL01,18.516216,73.842527,18.586216,73.912527,Sunny,Low,1.0,33
0xa077,PUNERES02DEL01,18.55144,73.804855,18.62144,73.874855,Fog,Jam,3.0,45
0x7b54,PUNERES010DEL01,18.539299,73.897902,18.609299,73.967902,Stormy,Low,2.0,13
0x4cce,PUNERES12DEL01,18.520016,73.830547,18.530016,73.840547,Sandstorms,High,2.0,10
0x2c5a,PUNERES19DEL02,18.563934,73.915367,18.693935,74.045367,Cloudy,Low,2.0,37
0x41f5,PUNERES12DEL02,18.520016,73.830547,18.540016,73.850547,Fog,Low,1.0,16
0x53e7,PUNERES06DEL02,18.546258,73.904337,18.676258,74.034337,Windy,Jam,2.0,26
0x2668,PUNERES09DEL01,18.536562,73.896485,18.576562,73.936485,Fog,Medium,1.0,14
0xb9d7,PUNERES02DEL01,18.55144,73.804855,18.56144,73.814855,Sunny,Low,2.0,19
0xae81,PUNERES15DEL01,18.636215,73.751081,18.676215,73.791081,Sandstorms,High,2.0,21
0x96c3,PUNERES15DEL01,18.636215,73.751081,18.706215,73.821081,Cloudy,Medium,3.0,36
0x9bfd,PUNERES09DEL02,18.536562,73.896485,18.586562,73.946485,Cloudy,Jam,2.0,25
0x340d,PUNERES07DEL02,18.546947,73.900626,18.596947,73.950626,Windy,Medium,1.0,25
0xb76a,PUNERES06DEL03,18.546258,73.904337,18.606258,73.964337,Fog,Medium,2.0,18
0x44bc,PUNERES02DEL02,18.55144,73.804855,18.68144,73.934855,Stormy,Medium,2.0,22
0x218d,PUNERES12DEL01,18.520016,73.830547,18.530016,73.840547,Sunny,Low,1.0,16
0xafd7,PUNERES17DEL03,18.530963,73.828972,18.560963,73.858972,Windy,Low,2.0,23
0x293c,PUNERES08DEL03,18.53408,73.89852,18.59408,73.95852,Cloudy,Medium,2.0,33
0x8fb2,PUNERES15DEL02,18.636215,73.751081,18.716215,73.831081,Stormy,Jam,2.0,33
0x8a34,PUNERES010DEL01,18.539299,73.897902,18.549299,73.907902,Windy,Low,2.0,28
0x917f,PUNERES12DEL01,18.520016,73.830547,18.590016,73.900547,Fog,Medium,3.0,36
0x728a,PUNERES02DEL01,18.55144,73.804855,18.56144,73.814855,Cloudy,High,1.0,35
0x3e82,PUNERES06DEL02,18.546258,73.904337,18.676258,74.034337,Sunny,Jam,2.0,24
0x323a,PUNERES15DEL03,18.636215,73.751081,18.726215,73.841081,Sandstorms,Low,1.0,18
0x8cb2,PUNERES02DEL01,18.55144,73.804855,18.59144,73.844855,Windy,High,1.0,21
0x5d92,PUNERES09DEL03,18.536562,73.896485,18.626562,73.986485,Windy,Jam,1.0,38
0x8c7b,PUNERES04DEL01,18.51421,73.838429,18.55421,73.878429,Sunny,Medium,2.0,14
0x9ea4,PUNERES20DEL02,18.592718,73.773572,18.642718,73.823572,Stormy,Medium,2.0,19
0x1740,PUNERES05DEL01,18.543626,73.905101,18.583626,73.945101,Cloudy,Medium,1.0,19
0x8753,PUNERES17DEL01,18.530963,73.828972,18.540963,73.838972,Sandstorms,Low,1.0,10
0x9247,PUNERES16DEL02,18.536718,73.830327,18.616719,73.910327,Cloudy,Jam,2.0,41
0x93ef,PUNERES08DEL02,18.53408,73.89852,18.58408,73.94852,Sandstorms,Jam,1.0,17
0xa6f9,PUNERES09DEL02,18.536562,73.896485,18.666562,74.026485,Stormy,Jam,2.0,32
0x3419,PUNERES02DEL03,18.55144,73.804855,18.58144,73.834855,Cloudy,Jam,2.0,27
0x9782,PUNERES010DEL03,18.539299,73.897902,18.569299,73.927902,Fog,Jam,2.0,20
0x699a,PUNERES010DEL02,18.539299,73.897902,18.589299,73.947902,Windy,Medium,1.0,21
0x124a,PUNERES11DEL03,18.533811,73.899315,18.563811,73.929315,Sandstorms,Medium,1.0,30
0xbe42,PUNERES07DEL03,18.546947,73.900626,18.576947,73.930626,Stormy,Low,1.0,27
0xa8d7,PUNERES12DEL03,18.520016,73.830547,18.580016,73.890547,Cloudy,Medium,2.0,16
0xa0b9,PUNERES07DEL03,18.546947,73.900626,18.636947,73.990626,Stormy,Low,2.0,24
0x4c2f,PUNERES19DEL03,18.563934,73.915367,18.593934,73.945367,Sunny,Jam,2.0,10
0xb849,PUNERES13DEL02,18.56245,73.916619,18.61245,73.966619,Windy,Low,1.0,10
0x81d7,PUNERES16DEL02,18.536718,73.830327,18.586718,73.880327,Fog,Low,1.0,12
0xa22d,PUNERES14DEL01,18.516216,73.842527,18.526216,73.852527,Sunny,High,1.0,13
0x6a01,PUNERES07DEL03,18.546947,73.900626,18.606947,73.960626,Windy,Low,1.0,24
0x2846,PUNERES03DEL01,18.554382,73.798206,18.594382,73.838206,Sandstorms,High,2.0,29
0x438e,PUNERES010DEL02,18.539299,73.897902,18.559299,73.917902,Sunny,Low,2.0,21
0xb036,PUNERES01DEL03,18.569156,73.774723,18.629156,73.834723,Cloudy,Medium,2.0,18
0x53f2,PUNERES02DEL02,18.55144,73.804855,18.60144,73.854855,Sunny,Medium,1.0,19
0xd12,PUNERES18DEL02,18.593481,73.785901,18.723481,73.915901,Windy,Jam,2.0,44
0x5d6b,PUNERES11DEL02,18.533811,73.899315,18.663811,74.029315,Fog,Jam,2.0,35
0x59aa,PUNERES05DEL02,18.543626,73.905101,18.623626,73.985101,Sandstorms,Low,1.0,28
0x402b,PUNERES010DEL03,18.539299,73.897902,18.569299,73.927902,Cloudy,Low,2.0,18
0x1fa6,PUNERES07DEL02,18.546947,73.900626,18.566947,73.920626,Sunny,High,2.0,19
0x5269,PUNERES15DEL01,18.636215,73.751081,18.706215,73.821081,Windy,Low,1.0,27
0xa75,PUNERES11DEL01,18.533811,73.899315,18.543811,73.909315,Fog,Low,1.0,18
0x1afe,PUNERES17DEL01,18.530963,73.828972,18.640963,73.938972,Cloudy,Low,2.0,26
0xab19,PUNERES19DEL01,18.563934,73.915367,18.673935,74.025367,Cloudy,Jam,4.0,43
0xb46,PUNERES20DEL02,18.592718,73.773572,18.672718,73.853572,Stormy,Medium,3.0,37
0x55d5,PUNERES05DEL02,18.543626,73.905101,18.623626,73.985101,Sunny,Jam,2.0,25
0x8c7,PUNERES15DEL02,18.636215,73.751081,18.716215,73.831081,Stormy,Medium,2.0,28
0x552f,PUNERES17DEL02,18.530963,73.828972,18.660963,73.958972,Stormy,Medium,2.0,21
0xbc8c,PUNERES18DEL02,18.593481,73.785901,18.643481,73.835901,Fog,Medium,1.0,21
0xab42,PUNERES15DEL01,18.636215,73.751081,18.676215,73.791081,Windy,Medium,1.0,16
0x86b5,PUNERES18DEL02,18.593481,73.785901,18.643481,73.835901,Cloudy,Medium,2.0,18
0x9a6a,PUNERES08DEL01,18.53408,73.89852,18.60408,73.96852,Sandstorms,Low,2.0,18
0x518f,PUNERES20DEL01,18.592718,73.773572,18.602718,73.783572,Stormy,Low,2.0,16
0x6f5f,PUNERES16DEL03,18.536718,73.830327,18.596719,73.890327,Fog,Medium,2.0,29
0xddb,PUNERES09DEL01,18.536562,73.896485,18.546562,73.906485,Sunny,Low,1.0,14
0x871e,PUNERES14DEL03,18.516216,73.842527,18.576216,73.902527,Cloudy,Medium,2.0,27
0xae85,PUNERES19DEL02,18.563934,73.915367,18.643935,73.995367,Stormy,Jam,4.0,51
0xae1b,PUNERES05DEL01,18.543626,73.905101,18.613626,73.975101,Sunny,Medium,2.0,16
0x6eaa,PUNERES05DEL03,18.543626,73.905101,18.603626,73.965101,Windy,Jam,2.0,20
0x7009,PUNERES09DEL02,18.536562,73.896485,18.556562,73.916485,Cloudy,High,2.0,31
0x1bfc,PUNERES18DEL02,18.593481,73.785901,18.673481,73.865901,Stormy,Jam,2.0,43
0x5f8c,PUNERES02DEL02,18.55144,73.804855,18.60144,73.854855,Fog,Low,2.0,25
0x8aca,PUNERES14DEL02,18.516216,73.842527,18.536216,73.862527,Fog,Low,2.0,18
0x9d74,PUNERES09DEL03,18.536562,73.896485,18.566562,73.926485,Stormy,Jam,2.0,19
0x59a1,PUNERES01DEL02,18.569156,73.774723,18.589156,73.794723,Windy,Low,2.0,10
0xaed7,PUNERES16DEL02,18.536718,73.830327,18.556718,73.850327,Cloudy,Low,2.0,13
0x511c,PUNERES16DEL01,18.536718,73.830327,18.576718,73.870328,Windy,High,2.0,49
0x97a2,PUNERES05DEL01,18.543626,73.905101,18.613626,73.975101,Cloudy,Medium,2.0,30
0x67d8,PUNERES08DEL01,18.53408,73.89852,18.64408,74.00852,Sandstorms,Jam,2.0,52
0xbe1a,PUNERES12DEL01,18.520016,73.830547,18.530016,73.840547,Windy,Low,2.0,23
0xb634,PUNERES06DEL03,18.546258,73.904337,18.606258,73.964337,Cloudy,Low,1.0,19
0x2a7c,PUNERES14DEL02,18.516216,73.842527,18.536216,73.862527,Fog,Low,1.0,14
0x45fd,PUNERES14DEL03,18.516216,73.842527,18.576216,73.902527,Cloudy,Jam,2.0,23
0x98f9,PUNERES09DEL02,18.536562,73.896485,18.666562,74.026485,Sandstorms,Medium,2.0,23
0x4e0c,PUNERES11DEL02,18.533811,73.899315,18.553811,73.919315,Sunny,High,2.0,15
0x642d,PUNERES07DEL02,18.546947,73.900626,18.596947,73.950626,Windy,Medium,2.0,24
0x566b,PUNERES010DEL03,18.539299,73.897902,18.599299,73.957902,Cloudy,Jam,2.0,27
0x499c,PUNERES03DEL02,18.554382,73.798206,18.684382,73.928206,Stormy,Low,1.0,17
0x2603,PUNERES010DEL02,18.539299,73.897902,18.589299,73.947902,Cloudy,Jam,2.0,38
0xae3d,PUNERES19DEL02,18.563934,73.915367,18.613934,73.965367,Fog,Low,1.0,17
0x96ee,PUNERES010DEL02,18.539299,73.897902,18.559299,73.917902,Sunny,High,1.0,20
0x3cf7,PUNERES06DEL03,18.546258,73.904337,18.576258,73.934337,Sandstorms,Jam,2.0,15
0x7075,PUNERES02DEL03,18.55144,73.804855,18.61144,73.864855,Windy,Low,2.0,29
0x6428,PUNERES03DEL01,18.554382,73.798206,18.624382,73.868206,Stormy,Low,1.0,15
0x9fee,PUNERES05DEL01,18.543626,73.905101,18.553626,73.915101,Fog,Low,2.0,24
0x319b,PUNERES02DEL01,18.55144,73.804855,18.62144,73.874855,Stormy,Medium,2.0,28
0xb51,PUNERES05DEL01,18.543626,73.905101,18.653626,74.015101,Stormy,Low,2.0,15
0x70bd,PUNERES17DEL01,18.530963,73.828972,18.540963,73.838972,Cloudy,Low,2.0,29
0x9b62,PUNERES06DEL03,18.546258,73.904337,18.576258,73.934337,Sandstorms,Medium,1.0,20
0x6143,PUNERES14DEL03,18.516216,73.842527,18.606216,73.932527,Sunny,Medium,2.0,25
0x9450,PUNERES14DEL03,18.516216,73.842527,18.576216,73.902527,Stormy,Low,1.0,20
0x4a8a,PUNERES01DEL01,18.569156,73.774723,18.609156,73.814723,Cloudy,High,1.0,22
0xb022,PUNERES14DEL02,18.516216,73.842527,18.566216,73.892527,Fog,Medium,2.0,29
0x7884,PUNERES04DEL01,18.51421,73.838429,18.58421,73.908429,Sandstorms,Jam,2.0,17
0x64f0,PUNERES14DEL02,18.516216,73.842527,18.596216,73.922527,Sandstorms,Jam,2.0,20
0x4546,PUNERES06DEL03,18.546258,73.904337,18.636258,73.994337,Windy,Medium,2.0,36
0x852f,PUNERES11DEL03,18.533811,73.899315,18.593811,73.959315,Sandstorms,Low,1.0,29
0x9ae0,PUNERES07DEL01,18.546947,73.900626,18.616947,73.970626,Sandstorms,Low,2.0,16
0x8c69,PUNERES07DEL03,18.546947,73.900626,18.576947,73.930626,Windy,Jam,1.0,41
0x7dd3,PUNERES15DEL02,18.636215,73.751081,18.686215,73.801081,Cloudy,Low,2.0,17
0x6421,PUNERES05DEL02,18.543626,73.905101,18.563626,73.925101,Stormy,Low,2.0,16
0x6927,PUNERES06DEL03,18.546258,73.904337,18.636258,73.994337,Sunny,Jam,2.0,19
0xbd71,PUNERES010DEL01,18.539299,73.897902,18.649299,74.007902,Fog,Medium,2.0,31
0x5f7b,PUNERES010DEL01,18.539299,73.897902,18.579299,73.937902,Windy,High,2.0,30
0x957d,PUNERES19DEL01,18.563934,73.915367,18.673935,74.025367,Fog,Jam,2.0,42
0xb4e3,PUNERES010DEL02,18.539299,73.897902,18.619299,73.977902,Sandstorms,Low,1.0,16
0x215a,PUNERES11DEL01,18.533811,73.899315,18.603811,73.969315,Sunny,Jam,2.0,24
0x3959,PUNERES19DEL01,18.563934,73.915367,18.603935,73.955367,Windy,High,2.0,22
0x6cf8,PUNERES01DEL03,18.569156,73.774723,18.659156,73.864723,Fog,Medium,2.0,30
0xb312,PUNERES05DEL02,18.543626,73.905101,18.563626,73.925101,Windy,Low,2.0,24
0x50d,PUNERES12DEL03,-18.520016,-73.830547,18.580016,73.890547,Clear,Medium,2.0,31
0x54ae,PUNERES13DEL01,18.56245,73.916619,18.67245,74.026619,Fog,Low,2.0,23
0x9435,PUNERES05DEL01,18.543626,73.905101,18.613626,73.975101,Cloudy,Low,2.0,23
0x1b9f,PUNERES08DEL03,18.53408,73.89852,18.59408,73.95852,Cloudy,Medium,2.0,22
0xa32,PUNERES03DEL03,18.554382,73.798206,18.614382,73.858206,Sandstorms,Medium,2.0,20
0x26fa,PUNERES19DEL01,18.563934,73.915367,18.603935,73.955367,Windy,High,1.0,31
0x6fe2,PUNERES12DEL01,18.520016,73.830547,18.560016,73.870547,Sunny,High,2.0,44
0x6abe,PUNERES15DEL02,18.636215,73.751081,18.656215,73.771081,Sunny,High,1.0,17
0x5c33,PUNERES03DEL01,18.554382,73.798206,18.594382,73.838206,Sunny,High,2.0,20
0x201a,PUNERES17DEL03,18.530963,73.828972,18.590963,73.888972,Windy,Medium,2.0,31
0x3b77,PUNERES19DEL03,18.563934,73.915367,18.593934,73.945367,Sunny,Jam,2.0,16
0x90da,PUNERES15DEL02,18.636215,73.751081,18.766215,73.881081,Windy,Medium,2.0,27
0xff2,PUNERES11DEL01,18.533811,73.899315,18.573811,73.939315,Stormy,High,1.0,23
0x539a,PUNERES07DEL01,18.546947,73.900626,18.656947,74.010626,Stormy,Medium,1.0,20
0xb63f,PUNERES17DEL01,18.530963,73.828972,18.570963,73.868972,Sandstorms,Medium,1.0,35
0x461d,PUNERES19DEL02,18.563934,73.915367,18.583935,73.935367,Windy,Low,1.0,15
0x50da,PUNERES17DEL02,18.530963,73.828972,18.610963,73.908972,Sunny,Jam,2.0,20
0x2db1,PUNERES15DEL01,18.636215,73.751081,18.646215,73.761081,Cloudy,High,2.0,24
0x6fc6,PUNERES06DEL01,18.546258,73.904337,18.556258,73.914337,Fog,Low,1.0,24
0x8539,PUNERES09DEL01,18.536562,73.896485,18.576562,73.936485,Fog,High,2.0,34
0x9ce5,PUNERES20DEL02,18.592718,73.773572,18.642718,73.823572,Stormy,Low,1.0,29
0x16c1,PUNERES04DEL02,18.51421,73.838429,18.53421,73.858429,Sunny,Low,2.0,22
0x8ceb,PUNERES04DEL01,18.51421,73.838429,18.55421,73.878429,Fog,High,2.0,23
0x191b,PUNERES18DEL03,18.593481,73.785901,18.623481,73.815901,Cloudy,Jam,2.0,30
0x9674,PUNERES07DEL02,18.546947,73.900626,18.676947,74.030626,Stormy,Jam,2.0,40
0x77bb,PUNERES01DEL02,18.569156,73.774723,18.699156,73.904723,Sunny,Low,2.0,44
0x59e9,PUNERES20DEL01,18.592718,73.773572,18.602718,73.783572,Cloudy,Low,1.0,17
0x8139,PUNERES20DEL01,18.592718,73.773572,18.662718,73.843572,Sandstorms,Low,2.0,21
0x6f7,PUNERES11DEL02,18.533811,73.899315,18.663811,74.029315,Windy,Jam,2.0,18
0x54c1,PUNERES14DEL03,18.516216,73.842527,18.546216,73.872527,Sandstorms,Low,1.0,12
0x9cb7,PUNERES15DEL03,18.636215,73.751081,18.666215,73.781081,Stormy,Medium,2.0,33
0xa4bc,PUNERES19DEL01,18.563934,73.915367,18.673935,74.025367,Stormy,Low,2.0,19
0x86ec,PUNERES06DEL01,18.546258,73.904337,18.586258,73.944337,Windy,Medium,1.0,32
0x8728,PUNERES16DEL03,18.536718,73.830327,18.566719,73.860327,Windy,Jam,2.0,25
0x7284,PUNERES010DEL01,18.539299,73.897902,18.579299,73.937902,Sunny,High,2.0,10
0x371a,PUNERES03DEL03,18.554382,73.798206,18.644382,73.888206,Stormy,Jam,2.0,24
0x613e,PUNERES05DEL01,18.543626,73.905101,18.583626,73.945101,Cloudy,Medium,1.0,19
0x19af,PUNERES010DEL03,18.539299,73.897902,18.569299,73.927902,Windy,Low,2.0,22
0x211c,PUNERES03DEL03,18.554382,73.798206,18.614382,73.858206,Stormy,Medium,2.0,21
0x7635,PUNERES01DEL01,18.569156,73.774723,18.639156,73.844723,Windy,Jam,1.0,37
0x6ca8,PUNERES06DEL01,18.546258,73.904337,18.616258,73.974337,Fog,Medium,2.0,34
0x86a8,PUNERES12DEL01,18.520016,73.830547,18.630016,73.940547,Fog,Low,2.0,20
0x766a,PUNERES08DEL02,18.53408,73.89852,18.66408,74.02852,Cloudy,Low,2.0,26
0x3c20,PUNERES16DEL01,18.536718,73.830327,18.546719,73.840328,Sandstorms,Low,2.0,24
0x4e5e,PUNERES18DEL02,18.593481,73.785901,18.723481,73.915901,Fog,Low,2.0,24
0x7452,PUNERES11DEL03,18.533811,73.899315,18.593811,73.959315,Fog,Jam,2.0,24
0xaf06,PUNERES010DEL02,18.539299,73.897902,18.669299,74.027902,Stormy,Medium,1.0,17
0x5c7b,PUNERES01DEL02,18.569156,73.774723,18.699156,73.904723,Stormy,Low,2.0,19
0x1f5a,PUNERES02DEL01,18.55144,73.804855,18.62144,73.874855,Sunny,Jam,2.0,24
0x511e,PUNERES06DEL03,18.546258,73.904337,18.576258,73.934337,Windy,Low,2.0,27
0xb999,PUNERES12DEL01,18.520016,73.830547,18.560016,73.870547,Cloudy,High,1.0,25
0x6945,PUNERES13DEL03,18.56245,73.916619,18.59245,73.946619,Windy,Medium,1.0,23
0x8498,PUNERES14DEL03,18.516216,73.842527,18.546216,73.872527,Sandstorms,Jam,1.0,33
0xbd49,PUNERES010DEL03,18.539299,73.897902,18.629299,73.987902,Windy,Low,1.0,15
0x234e,PUNERES16DEL01,18.536718,73.830327,18.546719,73.840328,Stormy,Low,2.0,24
0x62fb,PUNERES02DEL03,18.55144,73.804855,18.61144,73.864855,Cloudy,Low,2.0,16
0xa3af,PUNERES08DEL02,18.53408,73.89852,18.61408,73.97852,Sandstorms,Jam,4.0,46
0x8d19,PUNERES06DEL02,18.546258,73.904337,18.596258,73.954337,Cloudy,Low,1.0,13
0x90a2,PUNERES14DEL01,18.516216,73.842527,18.556216,73.882527,Cloudy,Medium,2.0,25
0xa026,PUNERES17DEL02,18.530963,73.828972,18.550963,73.848972,Cloudy,Low,1.0,11
0x81ae,PUNERES17DEL03,18.530963,73.828972,18.560963,73.858972,Sunny,Low,1.0,22
0x342d,PUNERES14DEL03,18.516216,73.842527,18.546216,73.872527,Sunny,Jam,1.0,13
0x14a7,PUNERES06DEL03,18.546258,73.904337,18.606258,73.964337,Stormy,Medium,1.0,11
0x32a5,PUNERES17DEL02,18.530963,73.828972,18.610963,73.908972,Windy,Low,1.0,25
0x32d8,PUNERES05DEL01,18.543626,73.905101,18.653626,74.015101,Fog,Jam,2.0,43
0x4eec,PUNERES08DEL03,18.53408,73.89852,18.59408,73.95852,Fog,Medium,2.0,16
0xa443,PUNERES08DEL01,18.53408,73.89852,18.57408,73.93852,Cloudy,High,2.0,30
0x2fbe,PUNERES17DEL02,18.530963,73.828972,18.580963,73.878972,Windy,Medium,1.0,33
0x1783,PUNERES11DEL03,18.533811,73.899315,18.623811,73.989315,Sandstorms,Low,2.0,21
0x289d,PUNERES08DEL02,18.53408,73.89852,18.55408,73.91852,Fog,Low,2.0,17
0xab84,PUNERES19DEL02,18.563934,73.915367,18.583935,73.935367,Cloudy,High,2.0,29
0x4a92,PUNERES14DEL02,18.516216,73.842527,18.646216,73.972527,Stormy,Medium,2.0,43
0xa490,PUNERES13DEL02,18.56245,73.916619,18.61245,73.966619,Sunny,Medium,2.0,24
0xba84,PUNERES20DEL01,18.592718,73.773572,18.632718,73.813572,Stormy,Medium,2.0,29
0xa8bf,PUNERES02DEL01,18.55144,73.804855,18.56144,73.814855,Sunny,Low,1.0,17
0xb2e2,PUNERES08DEL02,18.53408,73.89852,18.66408,74.02852,Cloudy,Jam,3.0,42
0x202d,PUNERES08DEL02,18.53408,73.89852,18.61408,73.97852,Cloudy,Jam,2.0,47
0x9c06,PUNERES18DEL01,18.593481,73.785901,18.663481,73.855901,Fog,Low,1.0,26
0x82d1,PUNERES08DEL02,18.53408,73.89852,18.58408,73.94852,Windy,Medium,1.0,34
0x333f,PUNERES02DEL03,18.55144,73.804855,18.58144,73.834855,Stormy,Medium,2.0,29
0xae92,PUNERES06DEL02,18.546258,73.904337,18.566258,73.924337,Windy,Low,1.0,24
0x186c,PUNERES14DEL01,18.516216,73.842527,18.556216,73.882527,Sandstorms,High,2.0,25
0x770f,PUNERES010DEL01,18.539299,73.897902,18.609299,73.967902,Stormy,Low,1.0,21
0x63a1,PUNERES17DEL01,18.530963,73.828972,18.640963,73.938972,Fog,Medium,2.0,42
0xa74,PUNERES20DEL03,18.592718,73.773572,18.622718,73.803572,Windy,Low,2.0,16
0xb660,PUNERES14DEL02,18.516216,73.842527,18.646216,73.972527,Sandstorms,Jam,1.0,28
0x8fb1,PUNERES01DEL03,18.569156,73.774723,18.599156,73.804723,Sandstorms,Medium,2.0,38
0xaacc,PUNERES16DEL02,18.536718,73.830327,18.586718,73.880327,Windy,Jam,3.0,44
0x4c24,PUNERES15DEL01,18.636215,73.751081,18.646215,73.761081,Sunny,Low,1.0,16
0x26e0,PUNERES06DEL02,18.546258,73.904337,18.626258,73.984337,Sandstorms,Jam,2.0,51
0x5883,PUNERES06DEL02,18.546258,73.904337,18.626258,73.984337,Sandstorms,Low,2.0,27
0x52d3,PUNERES01DEL02,18.569156,73.774723,18.649156,73.854723,Sunny,Low,2.0,25
0xbc33,PUNERES17DEL01,18.530963,73.828972,18.570963,73.868972,Sunny,Medium,2.0,23
0x3fc2,PUNERES11DEL03,18.533811,73.899315,18.593811,73.959315,Sunny,Jam,4.0,51
0x9898,PUNERES16DEL03,18.536718,73.830327,18.626718,73.920327,Stormy,Jam,1.0,28
0x11ec,PUNERES13DEL01,18.56245,73.916619,18.57245,73.926619,Windy,Low,1.0,28
0x414e,PUNERES06DEL03,18.546258,73.904337,18.606258,73.964337,Fog,Low,2.0,20
0x7e99,PUNERES07DEL01,18.546947,73.900626,18.586947,73.940626,Fog,High,1.0,29
0x7c07,PUNERES05DEL02,18.543626,73.905101,18.593626,73.955101,Windy,Jam,1.0,27
0x9a19,PUNERES02DEL03,18.55144,73.804855,18.64144,73.894855,Sandstorms,Medium,2.0,33
0xb6b0,PUNERES16DEL02,18.536718,73.830327,18.556718,73.850327,Sandstorms,Low,1.0,12
0x82cf,PUNERES09DEL02,18.536562,73.896485,18.556562,73.916485,Sunny,Low,2.0,22
0x5621,PUNERES15DEL01,18.636215,73.751081,18.646215,73.761081,Fog,High,2.0,26
0xc4e,PUNERES17DEL03,18.530963,73.828972,18.590963,73.888972,Sunny,Jam,1.0,17
0xb41c,PUNERES15DEL01,18.636215,73.751081,18.746215,73.861081,Fog,Medium,3.0,39
0x5f27,PUNERES04DEL02,18.51421,73.838429,18.59421,73.918429,Fog,Medium,2.0,39
0xadd7,PUNERES03DEL02,18.554382,73.798206,18.604382,73.848206,Sandstorms,Low,1.0,26
